"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"IN THE NEWS 2006","None","Justice Peter Smith embedded a secret code into a 2006 ruling that said this author hadn’t violated a copyright","Dan Brown (the author of The Da Vinci Code)"
"THE CALENDAR","None","Civilization that produced the first known calendar with 365 days","Ancient Egypt"
"BUSINESS","None","On April 17, 1973 this company began operations with the launch of 14 small aircraft from Memphis International Airport","Federal Express"
"13-LETTER WORDS","None","Word meaning "immeasurably small"; its first 8 letters are a word meaning "immeasurably great"","infinitesimal"
"LANDMARKS","None","The landmark site known to the Lakota as "6 Grandfathers" was renamed this after a prominent lawyer","Mt. Rushmore"
"19th CENTURY NAMES","None","He got his name because Mexican victims of his attacks would cry out in terror to St. Jerome","Geronimo"
"POLITICAL NONFICTION","None","This book begins, "June 17, 1972.  Nine o'clock Saturday morning"","All the President's Men"
"MUSICALS AROUND THE WORLD","None","In Mexico, this beloved American musical is sometimes known as "La Novicia Rebelde"","The Sound of Music"
"THEATRE","None","The patriarch of this family was born Herbert Blythe in 1847; he took a stage name in 1872","the Barrymores"
"19th CENTURY SCIENCE","None","In 1824 Anglican priest William Buckland wrote a pioneering paper on Megalosaurus, a creature whose name means this","lizard"
"RULERS","None","Though he was already emperor of one country, Franz Joseph was crowned in this city June 8, 1867","Budapest"
"STATE CAPITALS","None","Add one letter to a word meaning a religious rite & you get this U.S. state capital","Sacramento, California"
"AMERICAN AUTHORS","None","In 1900 the Atlantic Monthly published his story "An Odyssey of the North", his literary breakthrough","Jack London"
"FAMOUS PRODUCTS","None","First designed as a surgical disinfectant, in 1895 it was available to dentists & by 1914 was sold OTC","Listerine"
"BOOKS INSPIRED BY HISTORY","None",""Follow the Drinking Gourd" tells how slaves escaped to freedom guided by a song about this star group","the Big Dipper"
"AUTHORS","None","John Dryden in 1683 was the first to use the term "biography"--appropriately, while writing about this Greek","Plutarch"
"BESTSELLERS","None","A limited edition of this 1980 Stephen King novel featured an aluminum-coated asbestos-cloth cover","Firestarter"
"PRESIDENTIAL FIRSTS","None","The first president to cross the Atlantic Ocean while in office, he did so to meet with other world leaders","Wilson"
"U.S. TOURISM","None","You can reach this town's convention & visitors bureau by calling 1-TOMANDHUCK","Hannibal, Missouri"
"HERALDIC SYMBOLS","None","Dating from the second half of the 15th century, the Tudor rose has petals of these 2 colors","red & white"
"COLONIAL PEN NAMES","None","For gossip columns, he wrote under the name Busy Body; to discuss marriage, he became Anthony Afterwit","Benjamin Franklin"
"RELIGION","None","Among the 854 people the Russian Orthodox Church canonized in 2000 was this czar who was buried in St. Petersburg in 1998","Nicholas II"
"SPORTS","None","On Jan. 15, 1892 the first rules for this sport were published in the Triangle, the Springfield, Mass. YMCA newspaper","Basketball"
"FAMOUS SPEECHES","None","This 19th century speech included the line "The world will little note, nor long remember what we say here..."","The Gettysburg Address"
"THE ACADEMY AWARDS","None","Peter Finch was the first winner of a posthumous Best Actor Oscar; he was first to get 2 posthumous acting nominations","James Dean"
"THE PRESIDENCY","None","With a combined age of just 90 years, this president & vice president were the youngest team ever inaugurated","Bill Clinton & Al Gore"
"THE CABINET","None","One of two Cabinet department heads who have held their position for the entire Reagan administration thus far","(one of) Caspar Weinberger or Samuel Pierce of HUD"
"LONGFELLOW","None","In Longfellow's "Tales of a Wayside Inn", "The Landlord's Tale" concerns this man & begins with the word "Listen"","Paul Revere"
"WORLD LEADERS","None","Unable to say this future leader's tribal name, a teacher gave him a new name, perhaps after a British naval hero","Nelson Mandela"
"19th CENTURY AMERICA","None","The 2 Civil War generals on the winning Republican presidential ticket of 1880","James Garfield & Chester A. Arthur"
"TRANSPORTATION","None","The 3 bases for these in the U.S. are at Pompano Beach, Fla., Carson, Calif. & Suffield, Oh., just east of Akron","the Goodyear Blimps"
"SECRETARIES OF STATE","None","This man who died in 1994 once said, "We're eyeball to eyeball and the other fellow just blinked"","Dean Rusk"
"WORD ORIGINS","None","This word for an action that could cause you to fail a class comes from the Latin for "kidnap"","plagiarism"
"MODERN MONARCHIES","None","Of the 3 African countries ruled by monarchs, it's the farthest north","Morocco"
"ENGLISH","None","Group of 4 letters that sounds different within words for done, exhaustive, hack, idea, branch & coarse","\"O-U-G-H\""
"MUSICAL THEATRE","None","It opens with a widow & her son arriving by boat from Singapore to accept a job that pays 20 pounds a month","The King and I"
"HISTORIC OBJECTS","None","It's the historic object seen here [marked "1620"]","Plymouth Rock"
"LITERARY CHARACTERS","None","Hogwarts headmaster, he's considered by many to be the greatest wizard alive","Professor Dumbledore"
"POTENT POTABLES","None","This brand won a top prize at the 1893 Chicago Expo & has carried the award in its name ever since","Pabst Blue Ribbon beer"
"20th CENTURY PRESIDENTS","None","He's the only U.S. president whose first, middle & last names each have the same number of letters","Ronald Wilson Reagan"
"LANGUAGES","None","Dublin's famous Book of Kells is written in this language","Latin"
"AMERICANA","None","(<a href="http://www.j-archive.com/media/2005-10-19_FJ.jpg" target="_blank">Kelly of the Clue Crew reads the clue from a mail sorting counter at the post office.</a>)  In the '60s, to popularize a new system, the Post Office used ads of Ethel Merman singing this Disney movie tune","\"Zip-A-Dee-Doo-Dah\""
"LATIN LINGO","None","This 3-word phrase familiar in the U.S. originated in an ancient poem & described assembling foods to make salad","E pluribus unum"
"FRENCH NOVELISTS","None","A relative of Henri Bergson's wife, he used Bergson's mystical concepts of time in his most famous work","Marcel Proust (\"Remembrance of Things Past\")"
"WOMEN IN SPORTS","None","She won America's only gold medal at the 1968 Winter Olympics in Grenoble, France","Peggy Fleming"
"MILITARY TRADITIONS","None","At a military funeral, the American flag is folded this many times to resemble a Revolutionary War soldier's hat","13"
"FAMOUS WOMEN","None","1 of the 2 women who've appeared the most on the cover of Time Magazine, they're separated by 2,000 years","Princess Diana or The Virgin Mary"
"MEDICAL HISTORY","None","A patient who told this Frankfurt doctor "I have lost myself" was the basis for a paper he gave in 1906","Alois Alzheimer"
"EUROPE","None","2 of the 3 countries which today share the region of ancient Macedonia","Bulgaria, Greece & Yugoslavia"
"U.S. CITIES","None","Alphabetically first among the 150 most populous U.S. cities, it has become the "polymer capital of the world"","Akron"
"U.S. GOVERNMENT","None","Full & correct title of the post held by the person seen here:  (William Rehnquist)","Chief Justice of the United States"
"TOY SAFETY","None","According to the P.I.R.G., the most dangerous toy for children up to age 8 is this common party decoration","balloons"
"NORTH AMERICAN BIRDS","None","This bird is known for its size (5 feet tall), its call (carries 2 miles) & its rarity; in 1941 there were only 21 in the wild","the whooping crane"
"CHILDREN'S AUTHORS","None","This author & illustrator has said, "Max is like my demented son and he's taking care of his father for life"","Maurice Sendak"
"THE EMMYS","None","The star of one of TV's most popular shows ever, he's the only person to win Emmys for acting, writing & directing","Alan Alda (all for \"M*A*S*H\")"
"CARTOON CHARACTERS","None","This cartoon character was based in part on the woman who introduced the song "I Wanna Be Loved By You"","Betty Boop (based on Helen Kane)"
"IMAGES OF AMERICA","None","Citing John Winthrop, who said, "The eyes of all people are on us", Ronald Reagan liked to compare the U.S. to this","a shining city on a hill"
"SHAKESPEARE'S WOMEN","None","The name of this royal daughter from a tragedy is from a word meaning "little king"","Regan (from King Lear)"
"1999 ART NEWS","None","It was the first U.S. city to host a cow parade, hundreds of fiberglass cows by artists, placed around the city","Chicago"
"FAMOUS SCANDINAVIANS","None","The painter who said, "Illness, madness and death were the dark angels who watched over my cradle"","Edvard Munch"
"MEMORIALS","None","Opened in 2002 in Lower Manhattan, a memorial to this 1845-1849 tragedy used Kilkenny limestone","the Great Potato Famine in Ireland"
"CHILDREN'S BOOKS","None","It's the first in a trilogy of books that also includes "In The Night Kitchen" & "Outside Over There"","\"Where the Wild Things Are\""
"BESTSELLING AUTHORS","None","The main library at the University of Northern Colorado is named for this alumnus who wrote an epic of Colorado in 1974","James Michener (the novel was \"Centennial\")"
"U.S. SCIENCE CITIES","None","This California city has the honor of being the only one in the U.S. to have an element named for it","Berkeley"
"MOVIE MUSIC","None","The end credits for this 1998 film with Woody Allen feature the song "High Hopes"","Antz"
"BETTING TERMS","None","This word is from the custom of hiding bets in a hat before odds were announced","handicapping"
"ENGLISH ROYALTY","None","One of the 3 years in which 3 different kings reigned","(1 of) 1936, 1483, or 1066"
"NEWSMAKERS","None","In April 2005, during his first 2 days on the job, he received more than 56,000 e-mails","Pope Benedict XVI"
"ART","None","He said he painted one his masterpieces with his "beard turned up to heaven"","Michelangelo"
"AMERICAN WRITERS","None","In the 1840s he wrote, "I ask for, not at once no government, but at once a better government"","Henry David Thoreau"
"ENGLISH ROYALTY","None","Since the Norman Conquest, this royal house has supplied the most rulers, beginning with Henry II","Plantagenet"
"LANGUAGES OF EUROPE","None","A mixture of English & Spanish, Llanito is the language of this territory's 30,000 residents","Gibraltar"
"U.S. PRESIDENTS","None","The 2 men whose presidencies each began & ended during one calendar year","William Henry Harrison (1841) & James Garfield (1881)"
"THE 7 ANCIENT WONDERS","None","The oldest of the 7 wonders of the ancient world, they're also the only ones still standing today","the Pyramids"
"CLASSIC TELEVISION","None","This series was set at 165 Eaton Place, 6 floors, basement to attic","Upstairs, Downstairs"
"U.S. STATES","None","2 of the 4 states whose names were those of independent republics before they entered the Union","(2 of) Hawaii, Texas, California, & Vermont"
"TODAY'S SPORTS STARS","None","He was named after Japanese beef","Kobe Bryant"
"BUSINESS & INDUSTRY","None",""Built From Scratch" is a book on how Bernie Marcus & Arthur Blank remodeled this chain founded in 1978","Home Depot"
"AIRPORT CODES","None","The 3-letter code for this airport came from what was on the site before it -- Orchard Place","O'Hare Airport, Chicago - ORD"
"INVENTORS","None","A key to Alexander Graham Bell's experiments was one of these, procured by a doctor friend, Clarence Blake","an ear"
"POETRY","None","A line in this 1863 poem mentions "The eighteenth of April, in seventy-five"","\"Paul Revere's Ride\""
"ELVIS PRESLEY","None","Though Elvis was known as the King of Rock & Roll, the only 3 Grammy Awards he ever won were in this Grammy genre","gospel music"
"THE WINTER OLYMPICS","None","The southernmost city ever to host the Winter Olympics","Nagano, Japan (this past winter)"
"THE U.S. MONEY MAP","None","The 3 richest U.S. counties, by median household income, are not in N.Y. or Calif. but are suburbs of this city","Washington, D.C."
"NATIONAL ANTHEMS","None","This country's national anthem was written on the night of April 24, 1792","France (\"La Marseillaise\")"
"FICTIONAL CHARACTERS","None","In a last-minute change in his manuscript, Charles Dickens renamed Little Fred this","Tiny Tim"
"WORLD CITIES","None","In 1634 a Spanish royal decree recognized it as the "Key to the New World and the Bulwark of the West Indies"","Havana, Cuba"
"SCIENTIFIC THEORIES","None","Edward Lorenz' idea of linking this creature to changes in the weather became the basis of chaos theory","the butterfly"
"INTERNATIONAL AUTHORS","None","Starting in 1948 at Cornell, he lectured on books written in his native language, like "Dead Souls" & "Anna Karenina"","Vladimir Nabokov"
"RUSSIAN COMPOSERS","None","His first name means "moderate"; sadly, immoderate drinking helped kill him in 1881 at age 42, but not on Bald Mountain","Modest Mussorgsky"
"U.S. MONEY MATH","None","Adding up the denominations of circulating bills with U.S. presidents on the front gives you this total","$78"
"CONTEMPORARY WOMEN","None","According to the London Times she was England's highest-earning British woman in 2001, followed by Queen Elizabeth II","J.K. Rowling"
"BARTLETT'S FAMILIAR QUOTATIONS","None","The latest "Bartlett's" lists quotes chronologically; the first quotes come from this country","Egypt"
"TRADEMARKS","None","In 1987 a maker of fiberglass insulation became the first company to trademark a color--this color","pink"
"BOOKS","None","This book says, "Monday burn Millay, Wednesday Whitman, Friday Faulkner...that's our official slogan"","Fahrenheit 451"
"FAMOUS NOVELS","None","Chapter XVI of this novel concerns "The Inn Which He Took for a Castle"","\"Don Quixote\""
"PRESIDENTIAL ELECTIONS","None","It was the last Presidential election year when there was no sitting President or VP on the national ballot","1952"
"MUSIC & MOVIE SUPERSTARS","None","These 2 are the only Best Actress Oscar winners to have No. 1 hits on the Billboard Top 40","Barbra Streisand & Cher"
"DOCUMENTS","None","It says, "The history of the present king of Great Britain is a history of repeated injuries and usurpations"","the Declaration of Independence"
"CHARACTERS IN SHAKESPEARE","None","This character is described as "a howling monster", "a most scurvy monster" & "some monster of the isle"","Caliban"
"ON THE GLOBE","None","2-word alternate name for 0 degrees longitude","Prime Meridian"
"20th CENTURY ASIA","None","In 1942 Aung San, commander of this country's Independence Army, married nurse Khin Kyi","Burma"
"THE 1960s","None","Used most infamously in 1963, a .38-caliber Colt Cobra handgun belonging to this man sold in 1991 for $220,000","Jack Ruby"
"MEDICINE","None","In 1901 U.S. Surgeon General Walter Wyman helped establish a hospital in Hawaii for this disease","leprosy"
"LEGAL TERMS","None","Innuendo is what a plaintiff must demonstrate in order to prove the commission of this","slander (or libel or defamation)"
"8-LETTER WORDS","None","Differing by one letter, the 2 words that mean job & time away from the job","vocation & vacation"
"PLAY & FILM TITLES","None","Erasmus called an English friend of his "omnium horarum homo", which became this title of a play & film","A Man for All Seasons"
"ISLANDS","None","Davis Strait, named for a Northwest Passage seeker, separates these 2 islands that total over 1 million square miles","Greenland & Baffin Island"
"2001 NEWS","None","In 2001 the zinc industry was up in arms over Rep. Jim Kolbe's bill calling for the phasing out of these","pennies"
"INVENTORS","None","In the 18th century he wrote, "I have only to move my eyes up or down... to see distinctly far or near"","Benjamin Franklin"
"MUSEUMS","None","The Conspiracy Museum opened in this U.S. city in 1995","Dallas"
"MUSIC WORDS","None","Before it acquired its musical meaning in the early 20th century, it was baseball slang for "pep" or "energy"","jazz"
"AUTHORS","None","This writer was born in Germantown, Penn. on Nov. 29, 1832, the second of 4 daughters","Louisa May Alcott"
"16th CENTURY NAMES","None","In 2010, 467 years after his death, this man at odds with the church was reburied with honors at a Polish cathedral","Nicolaus Copernicus"
"EARLY MAN","None","It was the first nonprecious metal man made into tools & decorative items","copper"
"POP MUSIC","None","Selling over 12 million copies, this singer's 1999 album is the bestselling album by a teenage solo artist","Britney Spears"
"RECENT MOVIES","None","The young John Webster, who grew up to write "The Duchess of Malfi", is a character in this 1998 film","Shakespeare in Love"
"FILMS OF THE '30s","None","1933 film inspired by William Burden's 1926 Dutch East Indies trip & capture of the world's largest lizard","King Kong"
"U.S. GEOGRAPHY","None","With a common nickname that refers to its size, this is the largest island in the United States","Hawaii"
"HOLY PLACES","None","The elevated area where the Dome of the Rock sits is commonly called this, after a different religious building","the Temple Mount (in Jerusalem)"
"WORLD LEADERS","None","Unopposed, he was elected to his 5th term as president in 1998; he's been in power since 1959","Fidel Castro"
"MIDWEST TOPOGRAPHY","None","This state has the largest sand dunes complex in the U.S., just north of a river named for its flatness","Nebraska"
"YANKEE STADIUM HISTORY","None","A plaque in Monument Park honors this ex-"Cardinal" for a 1979 event held at the stadium","Pope John Paul II"
"TITLED HEADS","None","N.Y. financier Al Grimaldi is next in line for throne of this Mediterranean principality","Monaco"
"RIVERS","None","They're the two rivers meeting in the <a href="http://www.j-archive.com/media/2005-12-30_FJ.jpg" target="_blank">photo</a>","the Hudson River & the East River"
"BUSINESS BIGGIES","None","In the 1890s he established steamer lines on the Great Lakes to control the transport of iron to Pittsburgh","Andrew Carnegie"
"AFRICAN RIVERS","None","The course of this river that's almost 3,000 miles long is an immense counter-clockwise semi-circle","the Congo"
"CABLE TELEVISION","None","The premiere of this miniseries was held at Normandy's Utah Beach Memorial on June 6, 2001","Band of Brothers"
"SIGNS OF THE TIMES","None","First turned on in 1989 in Times Square, the "clock" measuring this ran out of digits in October 2008","the national debt"
"GEOGRAPHY","None","Name given to the parallel of latitude at 66 degrees 30' S.","the Antarctic Circle"
"TOP OF THE POP CHARTS","None","In 1978 he replaced his brothers at No. 1, who then replaced him; one of the brothers was a writer on all 3 songs","Andy Gibb"
"AUTHORS","None","In "Comics Review" in 1965, "I was a Teenage Grave Robber" was his first published work; he's still going strong","Stephen King"
"1960s OSCAR NOMINATIONS","None","One of the 2 male actors nominated in the '60s for playing more than one character in the same film","(1 of) Peter Sellers or Lee Marvin"
"THE TITANIC","None","When the RMS Titanic sank in 1912, its cargo included more than 7 million pieces of this, in some 3,400 sacks","mail"
"BEATLES SONGS","None","The title of this Beatles song is a Yoruba phrase that means "life goes on"","\"Ob-La-Di, Ob-La-Da\""
"AMERICANA","None","Riding the subway in New York in 1908, Jack Norworth saw a sign for the Polo Grounds & was inspired to write this song","Take Me Out To The Ball Game"
"U.S. PRESIDENTS","None","During his tenure, he never threw out an opening day first pitch, but before he was president, he did it for the Braves","Jimmy Carter"
"NFL TEAM NAMES","None","2 of the 4 teams in the NFL with completely alliterative names","(2 of) the Seattle Seahawks, the Jacksonville Jaguars, the Buffalo Bills, & the Tennessee Titans"
"WORLD CAPITALS","None","The Jose Marti Monument is a 450-foot tower in the Plaza de la Revolucion in this capital","Havana, Cuba"
"STATE CAPITALS","None","This Southern capital was named for an ancestor of a 20th century poet known for his clever rhymes","Nashville, Tennessee"
"HOLIDAYS","None","The Society for Human Resource Management says, of the 10 federal holidays, it's the least observed by the private sector","Columbus Day"
"INTERNATIONAL SONGS","None","Bush poet A.B. Paterson, who died in 1941, wrote the words to this internationally famous song","Waltzing Matilda"
"CIVIL RIGHTS HISTORY","None","By 1948, all but one of the 9 in this group charged in a 1931 crime had been freed","The Scottsboro Boys"
"AMERICAN LITERATURE","None","Controversial even when serialized in the "National Era", it sold over 300,000 copies in book form in 1852","Uncle Tom's Cabin"
"INSPIRATIONS FOR MUSICALS","None","In 2002 this novel by C.Y. Lee, first published in 1957, was re-released with a new introduction by David Henry Hwang","Flower Drum Song"
"WORLD LEADERS","None","This world leader who left office as president in 1994 titled his autobiography "The Last Trek: A New Beginning"","F.W. de Klerk  (of South Africa)"
"FAMOUS SHIPS","None","In 1999 the wreck of this ship, known for its historic 1912 rescue effort, was discovered 120 miles off England","the Carpathia"
"SYMBOLS","None","One tale of its origin says that the blind seer Tiresias separated 2 snakes with his staff","the caduceus"
"SECRETARIES OF STATE","None","In 1947 he said Europe's food needs require "substantial additional help" to prevent social deterioration","George C. Marshall"
"IN THE NEWS","None","So far some of its major components are Zarya, Unity, Zvezda & Canadarm2","International Space Station (ISS)"
"20th CENTURY AMERICANS","None","Encouraged by RFK to seek public office, he left the Marines as a colonel in 1965 & won a Senate seat 9 years later","John Glenn"
"WOMEN IN SPORTS","None","In 2006 the National Tennis Center in New York was renamed in her honor","Billie Jean King"
"20th CENTURY LITERATURE","None",""Annie" Sadilek, an immigrant girl from Bohemia, inspired the title character in this 1918 novel of the Great Plains","My Antonia (by Willa Cather)"
"LITERARY & MOVIE TITLE OBJECTS","None","The inspiration for this title object in a novel & a 1957 movie actually spanned the Mae Khlung River","the bridge on the River Kwai"
"PEOPLE & PLACES","None","In 1999 only a few hundred Americans known as Zonians were left in this country","Panama"
"HOLIDAYS & OBSERVANCES","None","This observance began as a day to eat up all the stuff in your home you couldn't eat for the next 40 days","Mardi Gras (Fat Tuesday)"
"EXPLORERS","None","In 1871 he answered, "Yes, and I feel thankful that I am here to welcome you"","Dr. Livingstone"
"CLASSIC TV","None","Among those who objected to this drama series that premiered in October 1959 were Frank Sinatra & J. Edgar Hoover","The Untouchables"
"LONDON LANDMARKS","None","A statue of him stands outside the London Underground Baker Street station","Sherlock Holmes"
"HISTORIC PEOPLE","None","The life story of this man who died in 1801 was chronicled in an A&E biography DVD titled "Triumph and Treason"","Benedict Arnold"
"THE AUTO INDUSTRY","None","This automaker's trademark symbolizes the 3 places where its engines were used: land, air & water","Mercedes-Benz"
"1970s BESTSELLERS","None","The preface to this novel says its title is a trademark phrase of General Mills, used on a cereal product","Breakfast of Champions"
"THE 1960s","None","On September 26, 1960 these 2 men squared off in the studios of WBBM in Chicago","John F. Kennedy & Richard Nixon"
"FADS","None","It was inspired by a piece of Australian physical education equipment & 100 million were sold worldwide in 1958","the hula hoop"
"AMERICAN NOVELISTS","None","An advocate of capitalism, in 1982 she was laid out beside a 6-foot dollar sign","Ayn Rand"
"TEXTILES","None","This synthetic material is named for the sports venue where it was installed in 1966","AstroTurf (for the Houston Astrodome)"
"STATE MOTTOES","None","General John Stark coined this 4-word motto about the 1777 Battle of Bennington, in which he led 1,400 N.H. volunteers","\"Live Free or Die\""
"VICE PRESIDENTS","None","1 of 2 men who served as U.S. vice president & also won a Nobel Peace Prize","Charles Dawes & Theodore Roosevelt"
"MOVIE HISTORY","None","This resort island lent its name to a 1948 Bogart film; the African Queen is now moored there","Key Largo"
"FAMOUS AMERICAN FAMILIES","None","In Hartford, Conn. over 200 manhole covers made from confiscated guns are engraved with the motto of this local family","The Colt Family"
"LEGENDARY PEOPLE","None","He lived with his girlfriend, a fat priest & a 7-foot-tall archer","Robin Hood"
"EXPLORERS","None","Sailing on behalf of Spain in 1519, this Portuguese explorer's trip proved the Americas were a new world","Ferdinand Magellan"
"MAN IN SPACE","None","3 months after John Glenn, he became the second American to orbit the earth","(Malcolm) Scott Carpenter"
"PLAYS","None","In 1998 the city of New Orleans gave the title object of this play to the city of San Francisco","\"A Streetcar Named Desire\""
"BUSINESS HISTORY","None","Crosby, Sinatra & Hope starred in the October 13, 1957 CBS-TV special that launched this short-lived product","the Edsel"
"AVIATION HISTORY","None","He was the 118th man to fly across the Atlantic Ocean","Charles Lindbergh"
"HISTORIC OBJECTS","None","More than 600 people, 200 horses, 40 ships, Edward the Confessor & Halley's Comet are depicted on it","the Bayeux Tapestry"
"AFRICA","None","In January 2006 this country swore in Africa's first elected female president, Ellen Johnson Sirleaf","Liberia"
"LITERARY MUSICAL THEATRE","None","Songs in this 1956 show include "Oh, Happy We", "You Were Dead, You Know" & "The Best Of All Possible Worlds"","Candide"
"SPORTS","None","On USA Today's list of magical numbers in sports, each had an explanation except 61, which only had this symbol","an asterisk"
"CLASSIC SONGS FROM MOVIES","None","6-word title of the song that says, "For the house fell on her head & the coroner pronounced her dead"","\"Ding-Dong!  The Witch Is Dead\""
"20th CENTURY WOMEN","None","Ushers at her 2001 funeral included Bill Gates, Barbara Walters, Jim Lehrer & Bob Woodward","Katharine Graham (publisher of The Washington Post)"
"20th CENTURY FICTIONAL CHARACTERS","None","In 1997 the Alabama Bar Association erected a monument to this lawyer at the Old Courthouse in Monroeville","Atticus Finch"
"PLAY CHARACTERS","None","He is based partly on a philologist who wrote "A History of English Sounds" & "A Handbook of Phonetics"","Henry Higgins"
"CITIES IN ENGLAND","None","The Roman name for this city was Aquae Sulis","Bath"
"THE UNITED NATIONS","None","It's the largest country in Europe that is not a member of the United Nations","Switzerland"
"FAMOUS PHRASES","None","Phrase associated with very dissimilar events of April 19, 1775 & October 3, 1951","the \"Shot Heard 'Round the World\""
"ACTRESSES","None","She was fined 20,000 francs for "inciting racial hatred" by denouncing a religious practice of killing sheep","Brigitte Bardot"
"EUROPEAN COUNTRIES","None","This co-principality is considered to have had the last remnant of Medieval Europe's feudal system","Andorra"
"ACADEMY AWARD FIRSTS","None","On March 5, 1936 screenwriter Dudley Nichols did this; it didn't happen again until an actor did it April 15, 1971","refused his Oscar"
"U.S. GOVERNMENT","None","This group that first met in 1942 didn't get a permanent chairman until 1949","The Joint Chiefs of Staff"
"2002 NEWS","None","These 2 men, both christened Paul, made news when they visited Africa together in May 2002","Bono & Treasury Secretary Paul O'Neill"
"RELIGIOUS HISTORY","None","Anglicanism got its name from the Latin "Anglicana Ecclesia", a phrase in this 13th century document","Magna Carta"
"STATE QUARTERS","None","Of the U.S. state quarters that feature sail-powered craft, the state depicting the oldest ship","Florida"
"BROADWAY MUSICALS","None","Legend says this musical was inspired by Lunt & Fontanne's backstage bickering during a Shakespeare play","Kiss Me, Kate"
"MOVIE HISTORY","None","Producer David Selznick was fined $5,000 by censors for using this word in a 1939 film","damn"
"ISLANDS","None","In 1867 the U.S. bought this island group named for a Russian captain & leased it to seal hunting companies","Pribilof Islands"
"WALL STREET","None","As part of 1997 changes to its industrial average group, Dow Jones replaced Woolworth with this retailer","Wal-Mart"
"AUTHORS","None","In September 2002 he offered $10,000 to help capture the person who burned down Iowa's Cedar Bridge","Robert James Waller (author of \"The Bridges of Madison County\")"
"U.S. PRESIDENTS","None","When this president & his wife didn't want to be understood by others, they spoke to each other in Chinese","Herbert Hoover"
"ACTRESSES","None","This actress, who won a 1976 Oscar, later earned acclaim for playing an actress who won a 1945 Oscar","Faye Dunaway"
"FAMOUS EXPRESSIONS","None","This cliche about superfluousness is derived from criticism of a 2nd coronation in Shakespeare's "King John"","gilding the lily"
"BRITISH ROYALTY","None","She was 6 years old & still known by the name Catalina when Columbus set sail for the New World","Catherine of Aragon"
"BALLET","None","Feeling the need for ballets about American life, this dancer choreographed his first ballet in 1944","Jerome Robbins"
"BRITISH ROYALTY","None","From the Latin for "greatest", this form of address was introduced by the narcissistic King Richard II","majesty"
"ENGLISH SPELLING","None","There are at least 50 common exceptions to the rule expressed by this popular rhyming mnemonic couplet","I before E, except after C"
"BOOKS","None","Chap. 1: "Until one morning in mid-November of 1959, few Americans--in fact, few Kansans--had ever heard of Holcomb"","In Cold Blood (by Truman Capote)"
"ANGELS","None","Slaves rowing off South Carolina's coast often invoked the help of this patron angel of the Jews","Michael"
"ORGANIZATIONS","None","On Nov. 17, 1871 Union vets dismayed by soldiers' lack of proficiency in one skill formed this organization","the National Rifle Association"
"BODIES OF WATER","None","The Latin name of this waterway is Fretum Herculeum","the Strait of Gibraltar"
"LABOR UNION PRESIDENTS","None","This current union president was the youngest person ever to receive a star on the Hollywood Walk of Fame","Melissa Gilbert"
"19TH CENTURY POLITICS","None","These 7 events occurred between August 21 & October 15, 1858 & each lasted 3 hours","The Lincoln-Douglas Debates for Senator in Illinois"
"SCIENTISTS","None","On the front lines during WWI, she drove ambulances that she had helped equip with x-ray machines","Marie Curie"
"STATE CAPITALS","None","It's the only state capital whose city limits lie on an international border","Juneau, Alaska"
"PEDIATRICS","None","In 1943 Drs. Leo Kanner & Hans Asperger each used this word for the then-unnamed disorder they were studying","autism"
"SYMBOLS","None","This symbol incorporates the semaphore signs for the letters N & D, for nuclear disarmament","the peace symbol"
"DIPLOMATIC RELATIONS","None","Of the 4 countries in the world that the U.S. does not have diplomatic relations with, the one that's farthest north","North Korea"
"ANIMALS","None","For 2006, between Oct. 25 & Nov. 1, the Los Angeles SPCA, like many other shelters, banned adoption of these","black cats"
"CLASSIC CHILDREN'S LIT","None","This children's story begins with a young farm girl saying to her mother, "Where's Papa going with that ax?"","Charlotte's Web "
"OCCUPATIONS","None","While working as one, Charlotte Bronte complained that one of these "has no existence, is not considered as a living... being"","a governess"
"LEGENDS","None","She abducted Lancelot when he was a baby & kept him on an island","the Lady of the Lake (or Vivien or Nimue)"
"U.S. PRESIDENTS","None","The two presidents whose fathers signed the Declaration of Independence","William Henry Harrison & John Quincy Adams"
"BRITISH ROYALTY","None","The only British monarch of the 20th century not to produce an heir","Edward VIII"
"ON EXHIBIT","None","The Chinese government, which controls all of these in the U.S., won't let a new one be named until it's 100 days old","giant pandas"
"THE CATHOLIC CHURCH","None","First mentioned in a letter by Clement IV in 1265, this item worn by the Pope features an image of St. Peter in a boat","a ring"
"MEDICINE 1998","None","An aspirin-acetominophen-caffeine pill is the first FDA-approved over-the-counter pill for this malady","migraine headaches"
"SCIENCE","None","The mammal that holds the record for the longest lifespan","man"
"NO. 1 SONGS","None",""The Twist" & this seasonal favorite from 1942 are the only 2 records to re-enter the charts & return to No. 1","\"White Christmas\""
"CABLE TELEVISION","None","2002's "A Season on the Brink" was this cable network's first original movie","ESPN/ESPN2"
"19th CENTURY NOVELISTS","None","She wrote that "happiness in marriage is entirely a matter of chance"","Jane Austen"
"WORLD RECORDS","None","In May 2000 Babu Chhiri, a Sherpa, set a record doing the last portion of this in about 16 hours","Climbing Mount Everest"
"EXPLORERS","None","He joined the London Missionary Society in 1838; after graduating medical school in 1840 he hoped to be sent to China","David Livingstone"
"RELIGIOUS NAMES","None","In commemoration of his predecessors, he was the first pope to choose a double name","Pope John Paul I"
